"DIRECCION","LATITUD","LOCALIZACION","LONGITUD","OBJECTID","X_MAGNAMED","Y_MAGNAMED","point"
"Cr 43C Cl 1A Sur","6.20417575","Puente 4 sur","-75.57349639","8","834425.5987","1178047.875","POINT (-75.57349638677822 6.2041757538834075)"
"Cr 75B Cl 5","6.21619923","Éxito Gran Vía","-75.59771436","6","831744.7988","1179377.9419","POINT (-75.59771436379062 6.21619923434339)"
"Av 80 Cl 65","6.2733975","Éxito de Robledo","-75.59307842","5","832258.3156","1185704.824","POINT (-75.59307842025532 6.273397497551134)"
"Cr 65 Cl 80","6.27637831","Cementerio Universal","-75.573466","4","834429.0924","1186034.4671","POINT (-75.57346600039324 6.276378309718656)"
"Cr 46 Cl 57","6.2534165","Avenida Oriental - Edificio Los Espejos","-75.56234178","3","835660.3659","1183494.569","POINT (-75.56234177581679 6.253416497854272)"
"Cr 46 Cl 41","6.24112087","Avenida Oriental - U.R. Torres de San Sebastián","-75.56959897","2","834857.0713","1182134.506","POINT (-75.56959897168001 6.241120872664124)"
"Cr 43C Cl 6 Sur","6.20035035","Calle 6 Sur - Carulla Oviedo","-75.57610332","1","834137.007","1177624.7388","POINT (-75.57610332343594 6.200350354302456)"
"Cr 43A Cl 4 Sur","6.20105572","Avenida El Poblado - Banco Caja Social","-75.57260277","336","834524.5154","1177702.7547","POINT (-75.57260276905019 6.201055717599699)"
"Cr 43C Cl 4 Sur","6.20129139","Calle 4 Sur - Puente de la 4 Sur","-75.57502272","335","834256.6311","1177728.8274","POINT (-75.57502271477865 6.201291386151955)"
"Av 80 Cl 48","6.25874173","Estación Floresta","-75.59777401","334","831738.4899","1184083.7252","POINT (-75.59777400819719 6.258741728869313)"
"Av 80 Cl 35","6.24319601","Glorieta Don Quijote","-75.60280083","333","831181.9646","1182364.1933","POINT (-75.60280082652899 6.24319601307843)"
"Av 80 Cl 33","6.23881281","Glorieta Santa Gema","-75.60303106","332","831156.4454","1181879.353","POINT (-75.60303105637907 6.238812811727916)"
"Av 80 Cl 30A","6.23199187","Asados La 80","-75.60216685","331","831252.0515","1181124.856","POINT (-75.60216685235318 6.231991865108916)"
"Cr 70 Cl 44","6.24923615","San Juan - Éxito La 70","-75.58874047","330","832738.3339","1183032.2238","POINT (-75.58874046906318 6.249236146438628)"
"Cr 65 Cl 50","6.25610042","Colombia","-75.5810401","329","833590.7004","1183791.474","POINT (-75.58104009853929 6.256100417853924)"
"Cr 65 Cl 44","6.24859283","San Juan - MAKRO","-75.5832854","328","833342.1458","1182961.0396","POINT (-75.58328539581797 6.248592826120001)"
"Cr 65 Cl 41","6.24546184","Avenida Bolivariana","-75.58373974","327","833291.8432","1182614.7116","POINT (-75.58373973475655 6.245461841793482)"
"Cr 65 Cl 30","6.23180783","Calle 30 - Estación Metroplús","-75.58277795","326","833398.2511","118,104.3869","POINT (-75.58277795194707 6.23180782841281)"
"Cr 48 Cl 10","6.21327551","Monterrey","-75.57622369","325","834123.713","1179054.4387","POINT (-75.57622369133097 6.213275512404893)"
"Cr 43A Cl 10","6.21062624","Avenida El Poblado - Parque El Poblado","-75.57047287","324","834760.304","1178761.3821","POINT (-75.57047286612088 6.210626234895738)"
"Cr 43A Cl 31","6.23123425","Avenida El Poblado - Ford","-75.56995084","323","834818.1123","1181040.9102","POINT (-75.56995084082672 6.2312342481445055)"
"Cr 46 Cl 52","6.24911309","Avenida Oriental - SOMA","-75.56473511","322","835395.4534","1183018.553","POINT (-75.56473510950391 6.249113095063454)"
